iter	Passed	Remaining
547	6308	5203
548	6316	5189
549	6320	5170
550	6323	5152
551	6330	5137
552	6339	5124
553	6349	5111
554	6352	5093
555	6355	5075
556	6362	5060
557	6365	5042
558	6367	5023
559	6369	5004
560	6377	4990
561	6384	4976
562	6393	4962
563	6400	4948
564	6406	4932
565	6414	4918
566	6417	4900
567	6421	4884
568	6427	4868
569	6437	4856
570	6464	4856
571	6468	4840
572	6472	4823
573	6477	4807
574	6482	4791
575	6487	4775
576	6497	4763
577	6500	4745
578	6503	4728
579	6508	4713
580	6517	4700
581	6534	4693
582	6544	4681
583	6570	4680
584	6582	4669
585	6609	4669
586	6613	4653
587	6616	4636
588	6622	4621
589	6626	4604
590	6629	4587
591	6634	4572
592	6645	4560
593	6648	4544
594	6651	4527
595	6680	4528
596	6683	4511
597	6692	4498
598	6694	4481
599	6696	4464
600	6699	4447
601	6704	4432
602	6706	4415
603	6708	4398
604	6711	4381
605	6714	4365
606	6718	4349
607	6725	4336
608	6728	4319
609	6745	4312
610	6748	4296
611	6751	4280
612	6753	4263
613	6761	4250
614	6766	4235
615	6794	4235
616	6798	4220
617	6806	4207
618	6812	4193
619	6816	4177
620	6824	4164
621	6827	4149
622	6838	4137
623	6845	4124
624	6848	4109
625	6851	4093
626	6853	4077
627	6860	4063
628	6862	4047
629	6864	4031
630	6867	4015
631	6869	3999
632	6877	3987
633	6879	3971
634	6882	3955
635	6889	3942
636	6891	3927
637	6894	3911
638	6896	3896
639	6901	3882
640	6904	3866
641	6905	3850
642	6907	3835
643	6909	3819
644	6911	3804
645	6918	3791
646	6921	3776
647	6923	3761
648	6925	3745
649	6937	3735
650	6940	3721
651	6944	3706
652	6950	3693
653	6954	3679
654	6957	3664
655	6964	3651
656	6967	3637
657	6970	3622
658	6989	3616
659	6996	3604
660	6999	3589
661	7001	3574
662	7005	3560
663	7017	3550
664	7019	3536
665	7022	3521
666	7029	3509
667	7032	3495
668	7035	3480
669	7037	3466
670	7043	3453
671	7046	3439
672	7048	3424
673	7109	3438
674	7114	3425
675	7116	3410
676	7119	3396
677	7126	3384
678	7128	3370
679	7135	3357
680	7138	3343
681	7140	3329
682	7143	3315
683	7157	3306
684	7160	3292
685	7164	3279
686	7167	3265
687	7169	3251
688	7172	3237
689	7175	3223
690	7178	3209
691	7180	3195
692	7185	3182
693	7188	3169
694	7202	3160
695	7204	3146
696	7207	3133
697	7213	3121
698	7216	3107
699	7219	3093
700	7221	3080
701	7232	3070
702	7235	3056
703	7238	3043
704	7249	3033
705	7252	3020
706	7254	3006
707	7270	2998
708	7278	2987
709	7281	2973
710	7283	2960
711	7286	2947
712	7297	2937
713	7299	2924
714	7311	2914
715	7316	2902
716	7318	2888
717	7323	2876
718	7327	2863
719	7342	2855
720	7345	2842
721	7352	2831
722	7355	2818
723	7363	2807
724	7371	2796
725	7379	2784
726	7383	2772
727	7386	2759
728	7393	2748
729	7397	2735
730	7399	2723
731	7402	2710
732	7407	2698
733	7411	2685
